1;Thornton;Mathew;1996-01-26;2019;mathewthornton@student.fantys.nl;F;NEW
2;Simon;Rashad;1999-08-28;2019;rashadsimon@student.fantys.nl;F;NEW
3;Dixon;Colton;1996-12-17;2019;coltondixon@student.fantys.nl;M;NEW
4;Mcintyre;Luciano;1995-12-04;2019;lucianomcintyre@student.fantys.nl;M;NEW
5;Mcintyre;Derek;2000-09-04;2019;derekmcintyre@student.fantys.nl;F;NEW
6;Meijer;Teagan;1998-08-29;2019;teaganmeijer@student.fantys.nl;F;NEW
7;Sweeney;Kaeden;1999-10-24;2019;kaedensweeney@student.fantys.nl;F;NEW
8;Manning;Tristian;1999-07-26;2019;tristianmanning@student.fantys.nl;F;NEW
9;Robles;Diego;1997-09-03;2019;diegorobles@student.fantys.nl;F;NEW
10;Holden;Korbin;2000-05-29;2019;korbinholden@student.fantys.nl;F;NEW
11;Zhang;Rashad;1997-07-19;2019;rashadzhang@student.fantys.nl;F;NEW
12;Griffith;Jace;1999-05-04;2019;jacegriffith@student.fantys.nl;F;NEW
13;Aguirre;Stanley;1996-11-18;2019;stanleyaguirre@student.fantys.nl;M;NEW
14;Guerra;Korbin;1996-08-29;2019;korbinguerra@student.fantys.nl;F;NEW
15;Manning;Quintin;1994-08-16;2019;quintinmanning@student.fantys.nl;F;NEW
16;Stuart;Zaiden;2000-01-16;2019;zaidenstuart@student.fantys.nl;F;NEW
17;Richmond;Jon;1998-01-10;2019;jonrichmond@student.fantys.nl;M;NEW
18;Kirby;Jan;1995-12-16;2019;jankirby@student.fantys.nl;F;NEW
19;Graham;Israel;1996-09-24;2019;israelgraham@student.fantys.nl;M;NEW
20;Benson;Ty;1997-10-25;2019;tybenson@student.fantys.nl;M;NEW
21;Graham;Kamron;2000-02-23;2019;kamrongraham@student.fantys.nl;M;NEW
22;Simon;Aryan;1998-03-01;2019;aryansimon@student.fantys.nl;M;NEW
23;Kennedy;Malaki;1994-11-17;2019;malakikennedy@student.fantys.nl;F;NEW
24;Wong;Jaden;1998-01-24;2019;jadenwong@student.fantys.nl;F;NEW
25;Rice;Jabari;1996-08-05;2019;jabaririce@student.fantys.nl;F;NEW
26;Bradford;Rashad;1996-01-23;2019;rashadbradford@student.fantys.nl;F;NEW
27;Reynolds;Seth;1995-09-09;2019;sethreynolds@student.fantys.nl;F;NEW
28;Richmond;Skylar;1994-05-12;2019;skylarrichmond@student.fantys.nl;M;NEW
29;Guerra;Gage;1999-12-19;2019;gageguerra@student.fantys.nl;M;NEW
30;Reynolds;Braedon;1995-01-05;2019;braedonreynolds@student.fantys.nl;M;NEW
31;Sweeney;Ezekiel;1998-05-19;2019;ezekielsweeney@student.fantys.nl;M;NEW
32;Kirby;Jesse;1998-01-28;2019;jessekirby@student.fantys.nl;M;NEW
33;Mosley;Odin;1994-12-13;2019;odinmosley@student.fantys.nl;M;NEW
34;Wong;Rodney;1997-08-29;2019;rodneywong@student.fantys.nl;F;NEW
35;Lloyd;Arnav;1997-12-11;2019;arnavlloyd@student.fantys.nl;F;NEW
36;Bolton;Ezekiel;1998-07-09;2019;ezekielbolton@student.fantys.nl;M;NEW
37;Benson;Ty;1998-10-30;2019;tybenson@student.fantys.nl;M;NEW
38;Mcintosh;Ty;1995-02-05;2019;tymcintosh@student.fantys.nl;F;NEW
39;Lloyd;Edward;1998-10-28;2019;edwardlloyd@student.fantys.nl;F;NEW
40;Schuster;Quintin;1994-07-23;2019;quintinschuster@student.fantys.nl;M;NEW
41;Bolton;Teagan;2000-02-23;2019;teaganbolton@student.fantys.nl;M;NEW
42;Mcintosh;Marcus;1999-06-02;2019;marcusmcintosh@student.fantys.nl;F;NEW
43;Stuart;Jaden;1996-12-11;2019;jadenstuart@student.fantys.nl;M;NEW
44;Zavala;Rodney;1998-03-21;2019;rodneyzavala@student.fantys.nl;F;NEW
45;Bradford;Zaiden;1997-12-07;2019;zaidenbradford@student.fantys.nl;M;NEW
46;Schuster;Richard;1996-10-11;2019;richardschuster@student.fantys.nl;F;NEW
47;Montoya;Ezekiel;1998-04-09;2019;ezekielmontoya@student.fantys.nl;F;NEW
48;Montoya;Evan;1999-10-19;2019;evanmontoya@student.fantys.nl;M;NEW
49;Manning;Dale;1996-12-22;2019;dalemanning@student.fantys.nl;F;NEW
50;Bolton;Sonny;2000-01-26;2019;sonnybolton@student.fantys.nl;M;NEW
51;Kirby;Rodney;1995-04-16;2019;rodneykirby@student.fantys.nl;F;NEW
52;Bolton;Dale;1994-07-07;2019;dalebolton@student.fantys.nl;M;NEW
53;Clayton;William;1994-09-13;2019;williamclayton@student.fantys.nl;F;NEW
54;Rice;Stephan;1999-07-23;2019;stephanrice@student.fantys.nl;F;NEW
55;Bradford;Casey;2000-08-02;2019;caseybradford@student.fantys.nl;F;NEW
56;Strong;Steve;1997-10-12;2019;stevestrong@student.fantys.nl;F;NEW
